id,domain,task_difficulty,time_to_reward_days,past_failure_loops,self_efficacy_score,emotional_valence,social_pressure,task_clarity,time_available_hrs,distraction_level,perfectionism_score,reward_proximity,failure_weight,clarity_gap,delay_score,delay_label,primary_delay_cause,nudge_recommendation,acted
0,Creative Project,2.0,270.8,3,3.01,2.36,6.77,9.03,0.75,4.8,1.27,0.0037,2.097,0.97,32.16,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
1,Studying,3.09,219.9,8,2.79,1.5,5.45,2.98,3.64,8.28,1.06,0.0045,5.768,7.02,59.72,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
2,Studying,7.28,124.5,2,2.94,2.63,1.02,4.42,2.31,4.1,3.38,0.008,1.412,5.58,51.04,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
3,Fitness,7.57,196.0,6,1.71,-2.07,6.29,8.97,2.33,2.73,1.63,0.0051,4.974,1.03,53.21,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
4,Creative Project,3.05,106.0,1,8.7,3.66,3.8,5.08,5.05,2.46,4.2,0.0093,0.13,4.92,13.76,Low,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
5,Creative Project,3.4,341.9,10,1.64,1.35,5.34,3.2,2.91,3.43,9.33,0.0029,8.36,6.8,86.7,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
6,Creative Project,6.01,250.0,12,7.98,-2.71,0.32,3.84,1.79,2.9,9.49,0.004,2.424,6.16,80.25,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
7,Creative Project,3.83,239.4,6,8.96,1.43,1.43,2.26,4.53,5.85,7.72,0.0042,0.624,7.74,55.47,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
8,Finance,9.08,146.1,3,9.98,-3.62,4.94,7.8,5.2,2.38,2.44,0.0068,0.006,2.2,29.69,Low,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
9,Creative Project,4.8,23.7,6,6.36,-0.32,2.51,5.98,5.67,7.12,2.03,0.0405,2.184,4.02,21.58,Low,Fear of Failure,Reframe failure as data. Start with a 2-minute version.,1
10,Health Checkup,7.76,280.7,5,2.0,-0.65,4.54,9.58,5.29,3.37,5.51,0.0035,4.0,0.42,56.1,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
11,Studying,5.57,39.3,10,3.69,1.39,6.09,2.38,4.63,5.85,8.01,0.0248,6.31,7.62,63.33,High,Fear of Failure,Reframe failure as data. Start with a 2-minute version.,1
12,Health Checkup,9.27,218.8,7,1.18,4.29,8.79,8.48,2.02,1.52,8.9,0.0045,6.174,1.52,75.46,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
13,Fitness,1.77,177.6,1,9.8,0.33,1.26,6.94,5.69,2.49,5.75,0.0056,0.02,3.06,4.52,Low,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
14,Health Checkup,4.81,77.7,8,7.8,1.9,7.13,4.59,4.11,4.36,9.1,0.0127,1.76,5.41,35.31,Medium,Fear of Failure,Reframe failure as data. Start with a 2-minute version.,1
15,Finance,2.09,82.4,5,1.19,0.54,5.88,1.06,4.32,1.53,1.61,0.012,4.405,8.94,33.61,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
16,Fitness,8.74,26.3,3,3.51,-0.15,5.39,7.51,5.32,6.19,3.19,0.0366,1.947,2.49,35.7,Medium,Overwhelm / Complexity,Break into 3 micro-tasks. Focus only on Step 1.,0
17,Finance,8.27,69.9,1,6.93,-1.46,4.11,8.77,0.56,6.88,6.82,0.0141,0.307,1.23,37.43,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
18,Fitness,4.62,124.2,1,3.24,-3.1,4.49,4.8,1.85,3.25,9.31,0.008,0.676,5.2,47.3,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
19,Finance,8.27,312.5,1,1.46,4.99,8.36,9.72,5.58,8.64,2.5,0.0032,0.854,0.28,50.25,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
20,Finance,5.33,315.7,0,2.48,-4.98,3.9,9.34,4.76,3.57,7.27,0.0032,0.0,0.66,59.3,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
21,Creative Project,9.96,203.1,11,5.38,-3.1,2.18,1.53,4.48,1.55,3.82,0.0049,5.082,8.47,80.58,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
22,Fitness,6.26,183.8,8,2.42,4.61,0.8,2.67,3.67,7.08,3.12,0.0054,6.064,7.33,71.34,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
23,Fitness,9.47,208.1,9,6.35,1.19,4.19,6.25,3.26,9.41,2.84,0.0048,3.285,3.75,75.26,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
24,Creative Project,3.83,97.3,2,7.05,-2.0,3.16,7.77,0.67,5.12,9.99,0.0102,0.59,2.23,37.01,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
25,Fitness,1.66,78.2,4,2.19,-1.51,0.69,3.2,1.89,4.94,5.89,0.0126,3.124,6.8,48.76,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
26,Career Choice,6.51,360.3,10,5.76,1.68,5.55,9.39,0.85,8.9,3.38,0.0028,4.24,0.61,73.67,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
27,Fitness,7.68,57.2,4,6.44,2.18,2.04,6.71,1.77,5.4,9.15,0.0172,1.424,3.29,46.91,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
